ID;area_calc;elev_mean;elev_med;elev_std;elev_ran;slope_mean;mvert_dist;mvert_ang;elon_ratio;strm_dens;p_mean;et0_mean;eta_mean;arid_1;arid_2;p_season;frac_snow;hi_prec_fr;hi_prec_du;hi_prec_ti;lo_prec_fr;lo_prec_du;lo_prec_ti;lc_dom;agr_fra;bare_fra;forest_fra;glac_fra;lake_fra;urban_fra;lai_max;lai_diff;ndvi_max;ndvi_min;gvf_max;gvf_diff;bedrk_dep;root_dep;soil_poros;soil_condu;soil_tawc;sand_fra;silt_fra;clay_fra;grav_fra;oc_fra;gc_dom;gc_ig_fra;gc_mt_fra;gc_pa_fra;gc_pb_fra;gc_pi_fra;gc_py_fra;gc_sc_fra;gc_sm_fra;gc_ss_fra;gc_su_fra;gc_va_fra;gc_vb_fra;gc_wb_fra;geol_perme;geol_poros
32;105.084;634;611;133;676;89;19.0;227;0.610;0.62;4.39;2.36;1.70;0.54;0.60;0.20;0.09;11.55;1.22;jja;183.60;3.20;djf;231;0.623;0.000;0.317;0.000;0.000;0.059;4.20;3.83;0.80;0.24;1.03;0.81;6.62;1.24;0.47;0.067;0.16;0.470;0.298;0.232;0.089;0.005;sm;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.599;0.000;0.401;0.000;0.000;0.000;-12.9;0.202
33;25.443;2077;2079;258;1318;343;7.7;315;0.743;0.64;5.11;1.96;0.93;0.38;0.52;0.31;0.40;8.15;1.19;NA;157.80;2.86;djf;321;0.001;0.257;0.067;0.000;0.000;0.012;2.29;2.29;0.62;-0.06;0.93;1.19;0.60;0.30;0.47;0.030;0.05;0.375;0.409;0.216;0.167;0.020;sc;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;-11.8;0.060
34;84.271;1991;1988;261;1338;354;14.0;72;0.741;0.61;5.13;2.03;1.01;0.40;0.52;0.30;0.39;8.35;1.18;jja;159.15;2.85;djf;321;0.015;0.257;0.143;0.000;0.000;0.007;2.16;2.14;0.60;-0.05;0.87;1.10;0.60;0.30;0.47;0.030;0.05;0.361;0.417;0.222;0.154;0.020;sc;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;-11.8;0.060
35;247.742;1938;1950;309;1721;381;26.2;72;0.679;0.72;5.13;2.06;0.95;0.40;0.55;0.32;0.39;8.15;1.20;NA;157.20;2.85;djf;321;0.019;0.226;0.161;0.000;0.000;0.008;2.45;2.43;0.63;-0.04;0.88;1.11;0.56;0.34;0.47;0.030;0.05;0.373;0.413;0.214;0.160;0.019;sc;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;-11.8;0.060
36;64.262;1712;1725;355;1581;490;15.5;69;0.585;0.73;5.31;2.15;1.06;0.40;0.58;0.38;0.34;8.00;1.18;jja;156.30;2.85;djf;312;0.023;0.332;0.243;0.000;0.000;0.001;2.17;2.10;0.58;-0.02;0.73;0.90;0.38;0.31;0.47;0.030;0.05;0.380;0.412;0.208;0.168;0.020;sc;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;-11.8;0.060
37;66.517;1692;1711;315;1587;435;12.7;314;0.724;0.79;5.01;2.21;1.11;0.44;0.65;0.42;0.33;8.10;1.17;jja;158.25;2.88;djf;312;0.034;0.287;0.262;0.000;0.000;0.003;2.60;2.51;0.65;0.03;0.83;0.95;0.43;0.33;0.47;0.056;0.05;0.371;0.431;0.198;0.157;0.020;sc;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;-11.8;0.060
38;1012.951;1742;1769;411;2131;407;67.1;57;0.536;0.74;5.10;2.16;1.03;0.42;0.60;0.37;0.36;7.80;1.19;jja;155.90;2.86;djf;321;0.036;0.257;0.276;0.000;0.000;0.013;2.44;2.36;0.62;0.01;0.81;0.95;0.53;0.38;0.47;0.041;0.06;0.371;0.423;0.206;0.156;0.019;sc;0.000;0.000;0.000;0.000;0.000;0.000;0.974;0.026;0.000;0.000;0.000;0.000;0.000;-11.8;0.063
39;198.971;1275;1237;295;1416;274;18.6;45;0.858;0.68;4.87;2.31;1.42;0.47;0.61;0.34;0.24;9.55;1.17;jja;161.00;2.91;djf;312;0.203;0.043;0.468;0.000;0.007;0.042;3.77;3.59;0.73;0.12;0.88;0.86;1.27;0.72;0.48;0.033;0.10;0.385;0.392;0.224;0.127;0.015;sc;0.000;0.000;0.000;0.000;0.000;0.000;0.786;0.087;0.000;0.127;0.000;0.000;0.000;-11.8;0.092
40;202.593;1769;1765;388;1783;478;19.6;272;0.820;0.52;4.86;2.12;1.15;0.44;0.60;0.45;0.29;9.70;1.16;jja;161.35;2.81;djf;332;0.002;0.471;0.278;0.000;0.000;0.002;1.46;1.41;0.50;0.01;0.61;0.74;0.44;0.31;0.47;0.072;0.05;0.382;0.404;0.215;0.170;0.019;sc;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;-11.8;0.060
41;65.206;1403;1337;268;1383;289;11.7;41;0.781;0.64;4.88;2.33;1.17;0.48;0.71;0.46;0.25;10.20;1.16;jja;162.75;2.85;djf;312;0.062;0.113;0.650;0.000;0.000;0.035;2.88;2.63;0.69;0.14;0.80;0.74;0.67;0.37;0.48;0.241;0.06;0.361;0.412;0.228;0.133;0.019;sc;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;-11.8;0.060
